#chr	start	end	TSS_num	strand	zfh1_count	ctrl_count	responsiveness
chr2L	12815	12816	TSS_10945	+	5	0	1.75509432621
chr2L	59243	59244	TSS_5268	-	14	0	3.71122827673
chr2L	67043	67044	TSS_2980	+	39	1	9.17713509827
chr2L	72599	72600	TSS_6539	+	10	0	2.83881166131
chr2L	84184	84185	TSS_11273	-	5	0	1.75509432621
chr2L	87381	87382	TSS_2518	-	52	0	12.0211073968
chr2L	95583	95584	TSS_4396	+	19	0	4.80345785808
chr2L	107875	107876	TSS_7540	+	8	0	2.40371021526
chr2L	108132	108133	TSS_212	+	780	3	127.603916878
chr2L	108186	108187	TSS_10907	+	5	0	1.75509432621
chr2L	120630	120631	TSS_3308	-	32	0	7.64597372435
chr2L	120759	120760	TSS_7548	-	8	0	2.40371021526
chr2L	121573	121574	TSS_10933	+	5	0	1.75509432621
chr2L	121750	121751	TSS_2388	-	57	0	13.115017774
chr2L	128902	128903	TSS_10949	-	5	0	1.75509432621
chr2L	129240	129241	TSS_61	-	875	1	192.103538742
chr2L	132079	132080	TSS_488	+	364	1	80.289595228
chr2L	132119	132120	TSS_4379	+	19	0	4.80345785808
chr2L	139587	139588	TSS_5484	-	13	0	3.49295637577
chr2L	144608	144609	TSS_9440	+	6	0	1.97038325308
chr2L	149889	149890	TSS_10986	-	5	0	1.75509432621
chr2L	159034	159035	TSS_5246	+	14	0	3.71122827673
chr2L	161449	161450	TSS_1209	-	161	1	35.8706250455
chr2L	169604	169605	TSS_5030	-	15	0	3.92957396706
chr2L	182845	182846	TSS_8378	+	7	0	2.1867255063
chr2L	220755	220756	TSS_9518	+	6	0	1.97038325308
chr2L	221961	221962	TSS_5261	-	14	0	3.71122827673
chr2L	222343	222344	TSS_3701	+	26	0	6.3337831651
chr2L	241174	241175	TSS_11125	+	5	0	1.75509432621
chr2L	267504	267505	TSS_2853	-	42	0	9.83340246127
chr2L	277217	277218	TSS_11135	-	5	0	1.75509432621
chr2L	285721	285722	TSS_1889	-	86	1	19.4600684212
chr2L	292839	292840	TSS_11140	-	5	0	1.75509432621
chr2L	305940	305941	TSS_3704	+	26	0	6.3337831651
chr2L	305979	305980	TSS_3310	+	32	0	7.64597372435
chr2L	308702	308703	TSS_9544	-	6	0	1.97038325308
chr2L	309877	309878	TSS_6145	+	11	0	3.05671670715
chr2L	310248	310249	TSS_2017	+	103	3	17.2933600978
chr2L	319254	319255	TSS_7605	-	8	0	2.40371021526
chr2L	321244	321245	TSS_5807	-	12	0	3.2747771865
chr2L	378115	378116	TSS_9547	+	6	0	1.97038325308
chr2L	379770	379771	TSS_7006	+	9	0	2.62111566649
chr2L	390204	390205	TSS_8429	+	7	0	2.1867255063
chr2L	390261	390262	TSS_8430	+	7	0	2.1867255063
chr2L	419203	419204	TSS_6151	-	11	0	3.05671670715
chr2L	424539	424540	TSS_8431	-	7	0	2.1867255063
chr2L	431226	431227	TSS_4015	+	527	85	5.6270187215
chr2L	437407	437408	TSS_9555	-	6	0	1.97038325308
chr2L	451318	451319	TSS_8312	-	18	5	2.40238339363
chr2L	453100	453101	TSS_9557	+	6	0	1.97038325308
chr2L	457899	457900	TSS_5227	+	26	4	3.86348299255
chr2L	467832	467833	TSS_7009	-	9	0	2.62111566649
chr2L	472236	472237	TSS_6948	-	27	7	2.64503785569
chr2L	479685	479686	TSS_2902	-	41	2	9.61464379974
chr2L	480945	480946	TSS_11186	-	5	0	1.75509432621
chr2L	487902	487903	TSS_9561	+	6	0	1.97038325308
chr2L	490833	490834	TSS_4022	+	1428	254	5.4845703655
chr2L	496106	496107	TSS_11195	-	5	0	1.75509432621
chr2L	515211	515212	TSS_9563	-	6	0	1.97038325308
chr2L	523467	523468	TSS_8328	+	95	38	2.20399024392
chr2L	523561	523562	TSS_8442	+	7	1	2.1867255063
chr2L	523696	523697	TSS_5224	+	37	6	3.92522360044
chr2L	523735	523736	TSS_3555	+	521	68	6.81126207607
chr2L	531712	531713	TSS_11201	+	5	0	1.75509432621
chr2L	531749	531750	TSS_9565	-	6	0	1.97038325308
chr2L	538307	538308	TSS_7624	+	8	0	2.40371021526
chr2L	543378	543379	TSS_9566	+	6	0	1.97038325308
chr2L	545130	545131	TSS_782	+	256	0	56.6577630298
chr2L	545238	545239	TSS_9567	+	6	0	1.97038325308
chr2L	549533	549534	TSS_2465	-	54	0	12.4586679501
chr2L	552478	552479	TSS_1454	-	128	2	28.649905737
chr2L	552697	552698	TSS_11207	-	5	0	1.75509432621
chr2L	563314	563315	TSS_3494	-	29	0	6.9898421195
chr2L	563495	563496	TSS_11209	+	5	0	1.75509432621
chr2L	577488	577489	TSS_7016	+	9	0	2.62111566649
chr2L	590681	590682	TSS_11211	+	5	0	1.75509432621
chr2L	590861	590862	TSS_7627	-	8	0	2.40371021526
chr2L	593766	593767	TSS_11213	+	5	0	1.75509432621
chr2L	594686	594687	TSS_746	-	265	0	58.6270789626
chr2L	594716	594717	TSS_9573	-	6	0	1.97038325308
chr2L	600579	600580	TSS_11216	-	5	0	1.75509432621
chr2L	604109	604110	TSS_8445	-	7	0	2.1867255063
chr2L	608738	608739	TSS_11217	-	5	0	1.75509432621
chr2L	609087	609088	TSS_6532	-	10	1	2.83881166131
chr2L	609128	609129	TSS_11218	+	5	0	1.75509432621
chr2L	623497	623498	TSS_7629	-	8	0	2.40371021526
chr2L	635261	635262	TSS_8449	+	7	0	2.1867255063
chr2L	642836	642837	TSS_11228	+	5	0	1.75509432621
chr2L	651968	651969	TSS_11232	-	5	0	1.75509432621
chr2L	687023	687024	TSS_1199	-	162	0	36.0894356888
chr2L	707587	707588	TSS_11247	+	5	0	1.75509432621
chr2L	714981	714982	TSS_1729	-	98	0	22.0857044431
chr2L	728180	728181	TSS_8457	-	7	0	2.1867255063
chr2L	741790	741791	TSS_3200	-	34	0	8.08342557499
chr2L	744394	744395	TSS_7030	-	9	0	2.62111566649
chr2L	746062	746063	TSS_3108	+	36	0	8.52089722223
chr2L	750559	750560	TSS_9604	+	6	0	1.97038325308
chr2L	750605	750606	TSS_905	+	224	0	49.6557590044
chr2L	790727	790728	TSS_5048	+	15	0	3.92957396706
chr2L	790796	790797	TSS_1020	-	196	1	43.5290196501
chr2L	797940	797941	TSS_9611	+	6	0	1.97038325308
chr2L	800113	800114	TSS_5049	+	15	0	3.92957396706
chr2L	825982	825983	TSS_5012	+	22	3	4.10203367437
chr2L	827878	827879	TSS_11268	+	5	0	1.75509432621
chr2L	831791	831792	TSS_11269	-	5	0	1.75509432621
chr2L	851070	851071	TSS_4137	-	211	33	5.34736472965
chr2L	852849	852850	TSS_2556	+	51	0	11.8023291318
chr2L	857404	857405	TSS_4861	+	16	0	4.1479793462
chr2L	857431	857432	TSS_9616	+	6	0	1.97038325308
chr2L	868351	868352	TSS_5053	-	15	0	3.92957396706
chr2L	898646	898647	TSS_2198	+	66	0	15.0841182039
chr2L	901653	901654	TSS_9620	-	6	0	1.97038325308
chr2L	922794	922795	TSS_542	+	342	0	75.4756978632
chr2L	930424	930425	TSS_7033	-	9	0	2.62111566649
chr2L	949246	949247	TSS_8471	-	7	0	2.1867255063
chr2L	954509	954510	TSS_11291	-	5	0	1.75509432621
chr2L	984461	984462	TSS_1820	+	91	0	20.5540790799
chr2L	992793	992794	TSS_11299	-	5	0	1.75509432621
chr2L	996829	996830	TSS_2903	-	41	0	9.61464379974
chr2L	1007885	1007886	TSS_10890	-	5	0	1.75509432621
chr2L	1029898	1029899	TSS_10892	+	5	0	1.75509432621
chr2L	1043215	1043216	TSS_9400	-	6	0	1.97038325308
chr2L	1047148	1047149	TSS_9402	-	6	0	1.97038325308
chr2L	1077810	1077811	TSS_2847	-	112	7	9.88600140933
chr2L	1102438	1102439	TSS_8337	+	7	0	2.1867255063
chr2L	1102501	1102502	TSS_115	-	1221	4	160.975042483
chr2L	1102497	1102498	TSS_7542	+	8	0	2.40371021526
chr2L	1119027	1119028	TSS_25	-	5943	18	245.595967145
chr2L	1120814	1120815	TSS_10917	-	5	0	1.75509432621
chr2L	1134700	1134701	TSS_2387	+	57	0	13.115017774
chr2L	1137220	1137221	TSS_10918	+	5	0	1.75509432621
chr2L	1142917	1142918	TSS_9408	+	6	0	1.97038325308
chr2L	1142933	1142934	TSS_6486	-	10	0	2.83881166131
chr2L	1143202	1143203	TSS_1416	+	133	0	29.743949264
chr2L	1159880	1159881	TSS_3192	+	34	0	8.08342557499
chr2L	1161109	1161110	TSS_4378	+	19	0	4.80345785808
chr2L	1161194	1161195	TSS_6119	+	11	0	3.05671670715
chr2L	1163881	1163882	TSS_1103	-	243	3	40.1042625413
chr2L	1172577	1172578	TSS_9409	-	6	0	1.97038325308
chr2L	1175245	1175246	TSS_10922	-	5	0	1.75509432621
chr2L	1185323	1185324	TSS_7545	+	8	0	2.40371021526
chr2L	1186256	1186257	TSS_631	+	306	0	67.5984164546
chr2L	1186258	1186259	TSS_6963	-	9	0	2.62111566649
chr2L	1199421	1199422	TSS_5779	+	12	1	3.2747771865
chr2L	1200210	1200211	TSS_5479	+	13	0	3.49295637577
chr2L	1200830	1200831	TSS_5025	+	15	0	3.92957396706
chr2L	1219298	1219299	TSS_5243	+	14	0	3.71122827673
chr2L	1240037	1240038	TSS_2585	+	50	0	11.5835523158
chr2L	1256402	1256403	TSS_4522	+	18	0	4.58492870335
chr2L	1275299	1275300	TSS_9422	-	6	0	1.97038325308
chr2L	1333070	1333071	TSS_10959	-	5	0	1.75509432621
chr2L	1361727	1361728	TSS_757	-	262	0	57.9706402224
chr2L	1366783	1366784	TSS_10966	+	5	0	1.75509432621
chr2L	1416049	1416050	TSS_7561	+	8	0	2.40371021526
chr2L	1420087	1420088	TSS_10976	+	5	0	1.75509432621
chr2L	1420448	1420449	TSS_88	-	2267	8	174.315320566
chr2L	1425863	1425864	TSS_6972	+	9	0	2.62111566649
chr2L	1470320	1470321	TSS_9444	+	6	0	1.97038325308
chr2L	1494070	1494071	TSS_6126	+	11	0	3.05671670715
chr2L	1502816	1502817	TSS_1053	-	188	0	41.7785260005
chr2L	1529446	1529447	TSS_9447	-	6	0	1.97038325308
chr2L	1555129	1555130	TSS_5029	+	15	0	3.92957396706
chr2L	1555641	1555642	TSS_9448	+	6	0	1.97038325308
chr2L	1614149	1614150	TSS_11001	-	5	0	1.75509432621
chr2L	1646803	1646804	TSS_3628	+	27	0	6.55245989942
chr2L	1649004	1649005	TSS_11003	-	5	0	1.75509432621
chr2L	1651259	1651260	TSS_807	+	645	7	55.3751099298
chr2L	1651273	1651274	TSS_11004	-	5	0	1.75509432621
chr2L	1667810	1667811	TSS_8370	+	7	0	2.1867255063
chr2L	1690103	1690104	TSS_3629	+	27	0	6.55245989942
chr2L	1699564	1699565	TSS_11015	-	5	0	1.75509432621
chr2L	1710411	1710412	TSS_10875	-	11	4	1.90768947343
chr2L	1713823	1713824	TSS_9456	-	6	0	1.97038325308
chr2L	1714831	1714832	TSS_6978	-	9	0	2.62111566649
chr2L	1715843	1715844	TSS_6951	-	13	3	2.64207146368
chr2L	1724330	1724331	TSS_6130	-	11	0	3.05671670715
chr2L	1724373	1724374	TSS_3759	-	86	9	6.29528171361
chr2L	1727712	1727713	TSS_3487	-	40	3	7.03093315631
chr2L	1737468	1737469	TSS_77	+	823	1	180.7252032
chr2L	1833861	1833862	TSS_11032	+	5	0	1.75509432621
chr2L	1856808	1856809	TSS_11033	+	5	0	1.75509432621
chr2L	1880667	1880668	TSS_7578	-	8	0	2.40371021526
chr2L	1884683	1884684	TSS_2224	+	65	2	14.8653261342
chr2L	1892383	1892384	TSS_11046	+	5	0	1.75509432621
chr2L	1911743	1911744	TSS_828	+	244	2	54.0320098949
chr2L	1931133	1931134	TSS_6508	+	10	0	2.83881166131
chr2L	1934690	1934691	TSS_11059	-	5	0	1.75509432621
chr2L	1944878	1944879	TSS_8390	-	7	0	2.1867255063
chr2L	1954551	1954552	TSS_5794	-	12	0	3.2747771865
chr2L	1970588	1970589	TSS_3945	-	23	0	5.67782566255
chr2L	1978909	1978910	TSS_11070	+	5	0	1.75509432621
chr2L	1987748	1987749	TSS_1041	-	258	3	42.5483565731
chr2L	2011702	2011703	TSS_1453	+	128	0	28.649905737
chr2L	2036041	2036042	TSS_866	-	235	2	52.0626962637
